step,epoch,loss,learning_rate
1,1,0.05413374677,9.999999747e-05
2,1,0.4202288985,9.999999747e-05
3,1,0.03699690849,9.999999747e-05
4,1,0.3981345296,9.999999747e-05
5,1,0.05485084653,9.999999747e-05
6,1,0.1309997588,9.999999747e-05
7,1,0.1864789128,9.999999747e-05
8,1,0.05660077929,9.999999747e-05
9,1,0.3100663722,9.999999747e-05
10,1,0.01031861268,9.999999747e-05
11,1,0.02960087918,9.999999747e-05
12,1,0.2156168669,9.999999747e-05
13,1,0.1904450357,9.999999747e-05
14,1,0.2924674749,9.999999747e-05
15,1,0.002682232531,9.999999747e-05
16,1,0.1423480213,9.999999747e-05
17,1,0.3497545421,9.999999747e-05
18,1,0.04368349165,9.999999747e-05
19,1,0.2475723624,9.999999747e-05
20,1,0.4739426374,9.999999747e-05
21,1,0.238225475,9.999999747e-05
22,1,0.2565504014,9.999999747e-05
23,1,0.01165719517,9.999999747e-05
24,1,0.0124698896,9.999999747e-05
25,1,0.03215643018,9.999999747e-05
26,1,0.1050705537,9.999999747e-05
27,1,0.04373894259,9.999999747e-05
28,1,0.1537371427,9.999999747e-05
29,1,0.05581589416,9.999999747e-05
30,1,0.1191844046,9.999999747e-05
31,1,0.004289195407,9.999999747e-05
32,1,0.08327034861,9.999999747e-05
33,1,0.07497866452,9.999999747e-05
34,1,0.03916192055,9.999999747e-05
35,1,0.03857513517,9.999999747e-05
36,1,0.1250765175,9.999999747e-05
37,1,0.005337887444,9.999999747e-05
38,1,0.1412124485,9.999999747e-05
39,1,0.01882826351,9.999999747e-05
40,1,0.0996273011,9.999999747e-05
41,1,0.1543636173,9.999999747e-05
42,1,0.08262314647,9.999999747e-05
43,1,0.3250404298,9.999999747e-05
44,1,0.003131847363,9.999999747e-05
45,1,0.7673742771,9.999999747e-05
46,1,0.08814138174,9.999999747e-05
47,1,0.4986866713,9.999999747e-05
48,1,0.4003185928,9.999999747e-05
49,1,0.05216502398,9.999999747e-05
50,1,0.09532568604,9.999999747e-05
51,1,0.3928535879,9.999999747e-05
52,1,0.03079591691,9.999999747e-05
53,1,0.08071359247,9.999999747e-05
54,1,0.1839705557,9.999999747e-05
55,1,0.2099927664,9.999999747e-05
56,1,0.2551245987,9.999999747e-05
57,1,0.002449371852,9.999999747e-05
58,1,0.2122569084,9.999999747e-05
59,1,0.006407035049,9.999999747e-05
60,1,0.01548880618,9.999999747e-05
61,1,0.006081467494,9.999999747e-05
62,1,0.008652972057,9.999999747e-05
63,1,0.009306520224,9.999999747e-05
64,1,0.1551199555,9.999999747e-05
65,1,0.1229624748,9.999999747e-05
66,1,0.03457489982,9.999999747e-05
67,1,0.0535438098,9.999999747e-05
68,1,0.2629367113,9.999999747e-05
69,1,0.0271233283,9.999999747e-05
70,1,0.3685156405,9.999999747e-05
71,1,0.1600905508,9.999999747e-05
72,1,0.1438183039,9.999999747e-05
73,1,0.07569996268,9.999999747e-05
74,1,0.7179191709,9.999999747e-05
75,1,0.4350974858,9.999999747e-05
76,1,0.1423693746,9.999999747e-05
77,2,0.008271094412,9.999999747e-05
78,2,0.003393888939,9.999999747e-05
79,2,0.02050562389,9.999999747e-05
80,2,0.005598007701,9.999999747e-05
81,2,0.008277985267,9.999999747e-05
82,2,0.004594689235,9.999999747e-05
83,2,0.06503690779,9.999999747e-05
84,2,0.1805035323,9.999999747e-05
85,2,0.1956938803,9.999999747e-05
86,2,0.2572453022,9.999999747e-05
87,2,0.1984568089,9.999999747e-05
88,2,0.3167659044,9.999999747e-05
89,2,0.08388825506,9.999999747e-05
90,2,0.1013330817,9.999999747e-05
91,2,0.02657242864,9.999999747e-05
92,2,0.003453697776,9.999999747e-05
93,2,0.1325086802,9.999999747e-05
94,2,0.1642205566,9.999999747e-05
95,2,0.1761212498,9.999999747e-05
96,2,0.121398218,9.999999747e-05
97,2,0.2160459161,9.999999747e-05
98,2,0.2210379392,9.999999747e-05
99,2,0.1064258441,9.999999747e-05
100,2,0.2491476536,9.999999747e-05
101,2,0.1856980771,9.999999747e-05
102,2,0.03649004549,9.999999747e-05
103,2,0.02261587791,9.999999747e-05
104,2,0.1598956585,9.999999747e-05
105,2,0.3100148737,9.999999747e-05
106,2,0.01383903995,9.999999747e-05
107,2,0.4907046556,9.999999747e-05
108,2,0.3098184466,9.999999747e-05
109,2,0.004225491546,9.999999747e-05
110,2,0.00468786573,9.999999747e-05
111,2,0.1146473512,9.999999747e-05
112,2,0.1312029511,9.999999747e-05
113,2,0.1480876058,9.999999747e-05
114,2,0.8946745396,9.999999747e-05
