candidate,vertex_id,x,y,z_bottom,z_top
S12,V0,-0.0443689791604,-1.15911099155,0.02,1.82
S12,V1,0.0591586388806,-0.772740661031,0.02,1.82
S12,V2,-0.0443689791604,-0.386370330516,0.02,1.82
S12,V3,0.0591586388806,0,0.02,1.82
S12,V4,-0.0443689791604,0.386370330516,0.02,1.82
S12,V5,0.0591586388806,0.772740661031,0.02,1.82
S12,V6,-0.0443689791604,1.15911099155,0.02,1.82
S20,V0,-0.0179191651316,-1.19342627444,0.02,1.82
S20,V1,0.0238922201755,-0.795617516295,0.02,1.82
S20,V2,-0.0179191651316,-0.397808758147,0.02,1.82
S20,V3,0.0238922201755,0,0.02,1.82
S20,V4,-0.0179191651316,0.397808758147,0.02,1.82
S20,V5,0.0238922201755,0.795617516295,0.02,1.82
S20,V6,-0.0179191651316,1.19342627444,0.02,1.82
